id,device,timestamp,screenOn,timestamp
fc77df91-c71d-4730-97be-5df64ada38ef-1451,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385071218.82,False,1385071218.82
fc77df91-c71d-4730-97be-5df64ada38ef-1452,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385071401.74,True,1385071401.74
fc77df91-c71d-4730-97be-5df64ada38ef-1453,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385071402.32,False,1385071402.32
fc77df91-c71d-4730-97be-5df64ada38ef-1455,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385071551.679,True,1385071551.679
fc77df91-c71d-4730-97be-5df64ada38ef-1456,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385071552.038,False,1385071552.038
fc77df91-c71d-4730-97be-5df64ada38ef-1458,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385072086.764,True,1385072086.764
fc77df91-c71d-4730-97be-5df64ada38ef-1459,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385072107.201,False,1385072107.201
fc77df91-c71d-4730-97be-5df64ada38ef-1460,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385072111.72,True,1385072111.72
fc77df91-c71d-4730-97be-5df64ada38ef-1461,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385072161.464,False,1385072161.464
fc77df91-c71d-4730-97be-5df64ada38ef-1462,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385072175.546,True,1385072175.546
fc77df91-c71d-4730-97be-5df64ada38ef-1463,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385072216.885,False,1385072216.885
fc77df91-c71d-4730-97be-5df64ada38ef-1464,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385072774.767,True,1385072774.767
fc77df91-c71d-4730-97be-5df64ada38ef-1465,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385072779.184,False,1385072779.184
fc77df91-c71d-4730-97be-5df64ada38ef-1466,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385072956.756,True,1385072956.756
fc77df91-c71d-4730-97be-5df64ada38ef-1467,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385072992.028,False,1385072992.028
fc77df91-c71d-4730-97be-5df64ada38ef-1468,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385073019.638,True,1385073019.638
fc77df91-c71d-4730-97be-5df64ada38ef-1469,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385073020.313,False,1385073020.313
fc77df91-c71d-4730-97be-5df64ada38ef-1470,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385073084.956,True,1385073084.956
fc77df91-c71d-4730-97be-5df64ada38ef-1471,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385073085.564,False,1385073085.564
fc77df91-c71d-4730-97be-5df64ada38ef-1472,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385073109.571,True,1385073109.571
fc77df91-c71d-4730-97be-5df64ada38ef-1473,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385073110.365,False,1385073110.365
fc77df91-c71d-4730-97be-5df64ada38ef-1475,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385073116.608,True,1385073116.608
fc77df91-c71d-4730-97be-5df64ada38ef-1476,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385073156.069,False,1385073156.069
fc77df91-c71d-4730-97be-5df64ada38ef-1477,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385073327.096,True,1385073327.096
fc77df91-c71d-4730-97be-5df64ada38ef-1478,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385073327.88,False,1385073327.88
