¥éËid,device,timestamp,location_id,location_color,duration,mAccuracy,mAltitude,mBearing,mExtras_networkLocationSource,mExtras_networkLocationType,mExtras_satellites,mHasAccuracy,mHasAltitude,mHasBearing,mHasSpeed,mProvider,mSpeed,mTime
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3960,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385415181,0,#0000FF,44.34500003,25,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3961,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385415181,0,#0000FF,0.032000065,25,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3980,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385416934,0,#0000FF,1752.922,80,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3981,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385416934,0,#0000FF,0.011999846,80,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3982,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385416935,0,#0000FF,1.045000076,71,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3983,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385416935,0,#0000FF,0.00999999,71,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3985,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385416948,0,#0000FF,12.65100002,73,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3986,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385416948,0,#0000FF,0.046000004,73,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3988,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385416958,0,#0000FF,10.26699996,82,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3989,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385416958,0,#0000FF,0.003999949,82,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4001,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385418734,0,#0000FF,1775.913,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4002,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385418734,0,#0000FF,0.092999935,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
