¥éËid,device,timestamp,_id,date,duration,name,number,numberlabel,numbertype,timestamp,type,datetime
42acb6c6-860b-42ea-8718-0261bb680d0e-1375,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374289380,7381,1.37E+12,0,"{""ONE_WAY_HASH"":""c29b7e4fb31d46a0186f292b5184bef5285300e9""}","{""ONE_WAY_HASH"":""e5b4fbe330f991fc1024e992520cd703ae8c6621""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374289380,3,7/19/13 10:03 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1376,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374289152,7380,1.37E+12,0,"{""ONE_WAY_HASH"":""ce2cb4fa736ed39019c7905205ecce08b2b6b137""}","{""ONE_WAY_HASH"":""8548223baa57f8ee6d6fbf17131e246d4943c2c5""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374289152,1,7/19/13 9:59 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1377,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374288928,7379,1.37E+12,0,"{""ONE_WAY_HASH"":""c29b7e4fb31d46a0186f292b5184bef5285300e9""}","{""ONE_WAY_HASH"":""e5b4fbe330f991fc1024e992520cd703ae8c6621""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374288928,1,7/19/13 9:55 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1378,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374288812,7377,1.37E+12,0,"{""ONE_WAY_HASH"":""c29b7e4fb31d46a0186f292b5184bef5285300e9""}","{""ONE_WAY_HASH"":""e5b4fbe330f991fc1024e992520cd703ae8c6621""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374288812,2,7/19/13 9:53 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1379,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374288706,7376,1.37E+12,0,"{""ONE_WAY_HASH"":""c29b7e4fb31d46a0186f292b5184bef5285300e9""}","{""ONE_WAY_HASH"":""e5b4fbe330f991fc1024e992520cd703ae8c6621""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374288706,1,7/19/13 9:51 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1380,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374288701,7375,1.37E+12,0,"{""ONE_WAY_HASH"":""c29b7e4fb31d46a0186f292b5184bef5285300e9""}","{""ONE_WAY_HASH"":""e5b4fbe330f991fc1024e992520cd703ae8c6621""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374288701,1,7/19/13 9:51 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1381,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374288547,7374,1.37E+12,0,"{""ONE_WAY_HASH"":""2296ad1bc0be64785afe68256265f6f521b5061a""}","{""ONE_WAY_HASH"":""6776b4fd19ca576088e9b5aef31d33332c31d072""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374288547,1,7/19/13 9:49 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1382,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374288244,7373,1.37E+12,0,"{""ONE_WAY_HASH"":""2296ad1bc0be64785afe68256265f6f521b5061a""}","{""ONE_WAY_HASH"":""6776b4fd19ca576088e9b5aef31d33332c31d072""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374288244,2,7/19/13 9:44 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1383,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374288227,7372,1.37E+12,0,"{""ONE_WAY_HASH"":""2296ad1bc0be64785afe68256265f6f521b5061a""}","{""ONE_WAY_HASH"":""6776b4fd19ca576088e9b5aef31d33332c31d072""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374288227,1,7/19/13 9:43 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1384,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374287620,7371,1.37E+12,0,"{""ONE_WAY_HASH"":""2296ad1bc0be64785afe68256265f6f521b5061a""}","{""ONE_WAY_HASH"":""6776b4fd19ca576088e9b5aef31d33332c31d072""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374287620,2,7/19/13 9:33 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1385,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374287592,7370,1.37E+12,0,"{""ONE_WAY_HASH"":""2296ad1bc0be64785afe68256265f6f521b5061a""}","{""ONE_WAY_HASH"":""6776b4fd19ca576088e9b5aef31d33332c31d072""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374287592,1,7/19/13 9:33 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1386,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374287443,7369,1.37E+12,0,"{""ONE_WAY_HASH"":""68fdf8c3e03fa9f6aa6c43f8508478a6493109ca""}","{""ONE_WAY_HASH"":""29748a81582a1407e807d34b590f5e9882cce318""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374287443,1,7/19/13 9:30 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1387,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374287295,7368,1.37E+12,0,"{""ONE_WAY_HASH"":""6d5313915527023a153d7d1b1ce985fd51d81464""}","{""ONE_WAY_HASH"":""f0563cb2e6bc4a1935363f5733fdcf545e067af7""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374287295,2,7/19/13 9:28 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1388,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374287283,7367,1.37E+12,0,"{""ONE_WAY_HASH"":""6d5313915527023a153d7d1b1ce985fd51d81464""}","{""ONE_WAY_HASH"":""f0563cb2e6bc4a1935363f5733fdcf545e067af7""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374287283,1,7/19/13 9:28 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1389,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374287143,7366,1.37E+12,0,"{""ONE_WAY_HASH"":""6d5313915527023a153d7d1b1ce985fd51d81464""}","{""ONE_WAY_HASH"":""f0563cb2e6bc4a1935363f5733fdcf545e067af7""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374287143,2,7/19/13 9:25 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1390,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374287103,7365,1.37E+12,0,"{""ONE_WAY_HASH"":""2296ad1bc0be64785afe68256265f6f521b5061a""}","{""ONE_WAY_HASH"":""6776b4fd19ca576088e9b5aef31d33332c31d072""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374287103,1,7/19/13 9:25 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1391,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374286946,7364,1.37E+12,0,"{""ONE_WAY_HASH"":""2296ad1bc0be64785afe68256265f6f521b5061a""}","{""ONE_WAY_HASH"":""6776b4fd19ca576088e9b5aef31d33332c31d072""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374286946,2,7/19/13 9:22 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1392,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374286804,7363,1.37E+12,0,"{""ONE_WAY_HASH"":""2296ad1bc0be64785afe68256265f6f521b5061a""}","{""ONE_WAY_HASH"":""6776b4fd19ca576088e9b5aef31d33332c31d072""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374286804,1,7/19/13 9:20 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1393,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374286686,7362,1.37E+12,0,"{""ONE_WAY_HASH"":""6d5313915527023a153d7d1b1ce985fd51d81464""}","{""ONE_WAY_HASH"":""f0563cb2e6bc4a1935363f5733fdcf545e067af7""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374286686,1,7/19/13 9:18 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1394,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374286666,7361,1.37E+12,0,"{""ONE_WAY_HASH"":""6d5313915527023a153d7d1b1ce985fd51d81464""}","{""ONE_WAY_HASH"":""f0563cb2e6bc4a1935363f5733fdcf545e067af7""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374286666,2,7/19/13 9:17 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1395,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374286481,7360,1.37E+12,0,"{""ONE_WAY_HASH"":""6d5313915527023a153d7d1b1ce985fd51d81464""}","{""ONE_WAY_HASH"":""f0563cb2e6bc4a1935363f5733fdcf545e067af7""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374286481,1,7/19/13 9:14 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1396,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374286433,7359,1.37E+12,0,"{""ONE_WAY_HASH"":""6d5313915527023a153d7d1b1ce985fd51d81464""}","{""ONE_WAY_HASH"":""f0563cb2e6bc4a1935363f5733fdcf545e067af7""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374286433,2,7/19/13 9:13 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1397,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374286378,7358,1.37E+12,0,"{""ONE_WAY_HASH"":""ce2cb4fa736ed39019c7905205ecce08b2b6b137""}","{""ONE_WAY_HASH"":""8548223baa57f8ee6d6fbf17131e246d4943c2c5""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374286378,2,7/19/13 9:12 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1398,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374285986,7357,1.37E+12,0,"{""ONE_WAY_HASH"":""68fdf8c3e03fa9f6aa6c43f8508478a6493109ca""}","{""ONE_WAY_HASH"":""29748a81582a1407e807d34b590f5e9882cce318""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374285986,2,7/19/13 9:06 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1399,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374285972,7356,1.37E+12,0,"{""ONE_WAY_HASH"":""68fdf8c3e03fa9f6aa6c43f8508478a6493109ca""}","{""ONE_WAY_HASH"":""29748a81582a1407e807d34b590f5e9882cce318""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374285972,1,7/19/13 9:06 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1400,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374285947,7355,1.37E+12,0,"{""ONE_WAY_HASH"":""6d5313915527023a153d7d1b1ce985fd51d81464""}","{""ONE_WAY_HASH"":""f0563cb2e6bc4a1935363f5733fdcf545e067af7""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374285947,1,7/19/13 9:05 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1401,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374285928,7353,1.37E+12,0,"{""ONE_WAY_HASH"":""68fdf8c3e03fa9f6aa6c43f8508478a6493109ca""}","{""ONE_WAY_HASH"":""29748a81582a1407e807d34b590f5e9882cce318""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374285928,2,7/19/13 9:05 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1402,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374285928,7354,1.37E+12,0,"{""ONE_WAY_HASH"":""2296ad1bc0be64785afe68256265f6f521b5061a""}","{""ONE_WAY_HASH"":""6776b4fd19ca576088e9b5aef31d33332c31d072""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374285928,2,7/19/13 9:05 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1403,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374285888,7352,1.37E+12,0,"{""ONE_WAY_HASH"":""6d5313915527023a153d7d1b1ce985fd51d81464""}","{""ONE_WAY_HASH"":""f0563cb2e6bc4a1935363f5733fdcf545e067af7""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374285888,2,7/19/13 9:04 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1404,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374285806,7351,1.37E+12,0,"{""ONE_WAY_HASH"":""6d5313915527023a153d7d1b1ce985fd51d81464""}","{""ONE_WAY_HASH"":""f0563cb2e6bc4a1935363f5733fdcf545e067af7""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374285806,1,7/19/13 9:03 PM
